time,avg_queue_time_a,avg_queue_time_b,avg_wait_time,avg_wait_person,avg_wait_person_a,avg_wait_person_b,total_agts,time_in_park,time_in_queue,average_score,average_profits,average_profits_a,average_profits_b
1758.3792999998668,8.333333333333334,6,7.166666666666667,0.2606060606060606,0.15151515151515152,0.10909090909090909,10532,27.242968288701334,12.668271334792115,109.75432323232323,5.078787878787879,2.193939393939394,2.6787878787878787
1758.8822999998672,5,4,4.5,0.15976331360946747,0.08875739644970414,0.07100591715976332,10537,27.242968288701334,12.668271334792115,115.73546351084813,5.905325443786983,2.3076923076923075,2.662721893491124
1759.3824999998687,5,3,4,0.13872832369942195,0.08670520231213873,0.05202312138728324,10544,27.243177083333332,12.66824652777777,115.07876685934492,5.734104046242774,1.7803468208092486,2.647398843930636
1759.8805999998685,5,6,5.5,0.1952662721893491,0.08875739644970414,0.10650887573964497,10546,27.264671385939348,12.68343743493649,114.99865877712037,5.171597633136095,1.8579881656804733,2.757396449704142
1760.3821999998684,6.666666666666667,6,6.333333333333333,0.21965317919075145,0.11560693641618497,0.10404624277456648,10550,27.264671385939348,12.68343743493649,114.65186897880544,5.0520231213872835,1.9190751445086704,2.820809248554913
1760.882499999869,6.666666666666667,7,6.833333333333333,0.23563218390804597,0.11494252873563218,0.1206896551724138,10554,27.264776077982454,12.683466888680742,115.24720306513413,5.183908045977011,1.5517241379310345,3.3448275862068964
1761.3828999998675,8.333333333333334,7,7.666666666666667,0.27218934911242604,0.14792899408284024,0.1242603550295858,10557,27.26106489184693,12.681423322240702,113.22418145956607,5.041420118343195,1.5502958579881656,3.4437869822485205
1761.8826999998685,8.333333333333334,6,7.166666666666667,0.25595238095238093,0.1488095238095238,0.10714285714285714,10557,27.26603237322798,12.686496135315926,115.31617063492067,5.333333333333333,1.8452380952380953,3.488095238095238
1762.3827999998682,8.333333333333334,5,6.666666666666667,0.23809523809523808,0.1488095238095238,0.08928571428571429,10559,27.26603237322798,12.686496135315926,115.65720238095238,5.5,1.8452380952380953,3.2857142857142856
1762.8828999998673,8.333333333333334,5,6.666666666666667,0.23668639053254437,0.14792899408284024,0.08875739644970414,10563,27.260142065142077,12.68285169785169,114.87023668639053,5.372781065088757,1.621301775147929,2.4615384615384617
1763.382999999869,8.333333333333334,5,6.666666666666667,0.23668639053254437,0.14792899408284024,0.08875739644970414,10565,27.259183814868713,12.683167047737816,114.45960552268244,5.3017751479289945,2.4615384615384617,2.485207100591716
1763.8830999998693,5,5,5,0.17751479289940827,0.08875739644970414,0.08875739644970414,10566,27.26221552530397,12.685576223630878,119.69731755424066,5.8698224852071,1.242603550295858,2.5207100591715976
1764.3829999998698,5,5,5,0.19480519480519481,0.09740259740259741,0.09740259740259741,10569,27.278218027175626,12.698205580333987,115.1057792207792,5.142857142857143,1.2467532467532467,3.168831168831169
1764.8825999998692,5,5,5,0.19230769230769232,0.09615384615384616,0.09615384615384616,10573,27.277545024024356,12.697061771924362,116.1339957264957,5.358974358974359,2.1153846153846154,3.1666666666666665
1765.3827999998682,5,5,5,0.1910828025477707,0.09554140127388536,0.09554140127388536,10575,27.27686298907786,12.69652979399972,116.97303609341823,5.375796178343949,1.7707006369426752,2.4968152866242037
1765.8824999998692,6.666666666666667,5,5.833333333333333,0.22012578616352202,0.12578616352201258,0.09433962264150944,10582,27.27541714167273,12.695073755484158,116.18035639412997,5.19496855345912,1.471698113207547,2.50314465408805
1766.3830999998688,6.666666666666667,6,6.333333333333333,0.24203821656050956,0.12738853503184713,0.11464968152866242,10583,27.271197679237478,12.69157342174333,114.9961146496815,5.146496815286624,2.535031847133758,2.535031847133758
1766.8825999998685,6.666666666666667,6,6.333333333333333,0.2360248447204969,0.12422360248447205,0.11180124223602485,10588,27.270019683000122,12.690752443109218,114.1575155279503,4.956521739130435,1.9254658385093169,2.7577639751552794
1767.3822999998679,8.333333333333334,7,7.666666666666667,0.2911392405063291,0.15822784810126583,0.13291139240506328,10592,27.264019465727916,12.686170359632769,112.41546413502107,4.772151898734177,1.9620253164556962,2.810126582278481
1767.8827999998678,8.333333333333334,5,6.666666666666667,0.25316455696202533,0.15822784810126583,0.0949367088607595,10592,27.264019465727916,12.686170359632769,114.31375527426158,5.075949367088608,2.6455696202531644,2.2278481012658227
1768.3788999998671,8.333333333333334,5,6.666666666666667,0.2484472049689441,0.15527950310559005,0.09316770186335403,10595,27.264019465727916,12.686170359632769,114.0470393374741,4.9813664596273295,2.658385093167702,2.186335403726708
1768.8831999998679,5,4,4.5,0.1656441717791411,0.09202453987730061,0.0736196319018405,10597,27.264019465727916,12.686170359632769,118.77701431492837,5.742331288343558,1.607361963190184,2.1226993865030677
1769.380599999868,5,4,4.5,0.17088607594936708,0.0949367088607595,0.0759493670886076,10602,27.2743793959454,12.693087160391663,115.7981223628692,5.050632911392405,2.037974683544304,2.2658227848101267
1769.8791999998678,6.666666666666667,5,5.833333333333333,0.21604938271604937,0.12345679012345678,0.09259259259259259,10607,27.273454683352305,12.692022615230798,114.91592592592593,4.925925925925926,2.049382716049383,2.197530864197531
1770.380399999867,6.666666666666667,6,6.333333333333333,0.24836601307189543,0.13071895424836602,0.11764705882352941,10610,27.264704059497994,12.685834796680773,110.91034858387799,4.666666666666667,1.869281045751634,2.4313725490196076
1770.8825999998683,6.666666666666667,4,5.333333333333333,0.20915032679738563,0.13071895424836602,0.0784313725490196,10612,27.263392887879107,12.684309270542865,112.88729847494554,5.0588235294117645,2.549019607843137,2.5098039215686274
1771.3832999998672,6.666666666666667,5,5.833333333333333,0.2229299363057325,0.12738853503184713,0.09554140127388536,10616,27.263392887879107,12.684309270542865,112.55895966029725,4.929936305732484,2.484076433121019,2.445859872611465
1771.8821999998672,8.333333333333334,4,6.166666666666667,0.23125,0.15625,0.075,10620,27.273915737298648,12.69083023543989,113.61943750000003,4.725,2.0375,2
1772.3829999998682,8.333333333333334,5,6.666666666666667,0.2484472049689441,0.15527950310559005,0.09316770186335403,10623,27.271735838667503,12.689156170417775,112.67542443064184,4.695652173913044,2.2236024844720497,2.360248447204969
1772.882199999867,8.333333333333334,6,7.166666666666667,0.2621951219512195,0.1524390243902439,0.10975609756097561,10627,27.271735838667503,12.689156170417775,112.44355691056911,4.609756097560975,2.2560975609756095,2.0609756097560976
1773.3783999998666,8.333333333333334,6,7.166666666666667,0.2670807453416149,0.15527950310559005,0.11180124223602485,10629,27.268658616300282,12.686479512849614,111.33115942028985,4.633540372670807,2.186335403726708,2.062111801242236
1773.8825999998678,5,4,4.5,0.16666666666666666,0.09259259259259259,0.07407407407407407,10634,27.265383821708642,12.68373916632273,117.73041152263369,5.481481481481482,2.185185185185185,2.246913580246914
1774.3797999998671,6.666666666666667,5,5.833333333333333,0.21604938271604937,0.12345679012345678,0.09259259259259259,10639,27.259987625038693,12.679502251555455,115.21018518518515,5.296296296296297,2.0987654320987654,2.4444444444444446
1774.8826999998678,6.666666666666667,4,5.333333333333333,0.19875776397515527,0.12422360248447205,0.07453416149068323,10640,27.25956284153008,12.678836306148392,115.48084886128363,5.304347826086956,2.484472049689441,2.0745341614906834
1775.3790999998685,6.666666666666667,5,5.833333333333333,0.21875,0.125,0.09375,10643,27.254440207495986,12.676330344566964,114.35412499999998,5.1625,2.3875,2.225
