time,avg_queue_time_a,avg_queue_time_b,avg_queue_time_c,avg_wait_time,avg_wait_person,avg_wait_person_a,avg_wait_person_b,avg_wait_person_c,total_agts,time_in_park,time_in_queue,average_score,average_profits,average_profits_a,average_profits_b,average_profits_c
4087.030200000747,10,4.5,1,5.166666666666667,0.22302158273381295,0.14388489208633093,0.06474820143884892,0.014388489208633094,20485,17.96059995412685,7.469971165503465,117.5209832134293,4.661870503597123,2.143884892086331,1.9424460431654675,0.2733812949640288
4087.530000000729,10,4.5,1,5.166666666666667,0.22302158273381295,0.14388489208633093,0.06474820143884892,0.014388489208633094,20489,17.959963963963876,7.46906470106471,115.30846522781779,4.489208633093525,2.0863309352517985,1.9280575539568345,0.2733812949640288
4088.029800000742,10,4.5,1,5.166666666666667,0.22627737226277372,0.145985401459854,0.06569343065693431,0.014598540145985401,20492,17.958565463031107,7.467839187750766,113.42888077858886,4.423357664233577,2.102189781021898,1.927007299270073,0.24817518248175183
4088.5298000007424,7.5,6,1,4.833333333333333,0.20863309352517986,0.1079136690647482,0.08633093525179857,0.014388489208633094,20495,17.958384096417017,7.467624615183084,116.51400479616314,4.618705035971223,1.7841726618705036,1.8992805755395683,0.2446043165467626
4089.0295000007313,5,3,1,3,0.1276595744680851,0.07092198581560284,0.0425531914893617,0.014184397163120567,20499,17.95795592232365,7.467349444935659,122.35316784869983,5.26241134751773,1.7446808510638299,1.900709219858156,0.22695035460992907
4089.529400000738,5,4.5,1.5,3.6666666666666665,0.16417910447761194,0.07462686567164178,0.06716417910447761,0.022388059701492536,20500,17.9581033749058,7.467193688827794,118.50741293532346,5.119402985074627,1.7014925373134329,2.537313432835821,0.29850746268656714
4090.029600000726,5,6,0.5,3.8333333333333335,0.18253968253968253,0.07936507936507936,0.09523809523809523,0.007936507936507936,20501,17.95912638036801,7.467128016359928,115.57417989417992,5.015873015873016,1.7936507936507937,2.0793650793650795,0.2698412698412698
4090.5293000007446,5,6,1.5,4.166666666666667,0.1984126984126984,0.07936507936507936,0.09523809523809523,0.023809523809523808,20504,17.959421925605955,7.467424019367301,113.93433862433866,4.841269841269841,2.0476190476190474,1.746031746031746,0.2698412698412698
4091.0291000007264,7.5,6,1,4.833333333333333,0.23015873015873015,0.11904761904761904,0.09523809523809523,0.015873015873015872,20505,17.95928815610832,7.467168817573655,114.83727513227517,4.857142857142857,1.873015873015873,1.873015873015873,0.2698412698412698
4091.5291000007273,7.5,6,1,4.833333333333333,0.23387096774193547,0.12096774193548387,0.0967741935483871,0.016129032258064516,20507,17.96644916515388,7.471155701646808,114.29854838709682,4.419354838709677,1.8548387096774193,1.903225806451613,0.6129032258064516
4092.0291000007282,7.5,3,0.5,3.6666666666666665,0.17054263565891473,0.11627906976744186,0.046511627906976744,0.007751937984496124,20513,17.96645244636307,7.471152210884364,115.58498708010339,4.635658914728682,1.875968992248062,2,0.5271317829457365
4092.528900000741,10,3,1,4.666666666666667,0.21705426356589147,0.15503875968992248,0.046511627906976744,0.015503875968992248,20514,17.966266045294653,7.4708887253699725,114.97821705426358,4.604651162790698,2,1.875968992248062,0.5271317829457365
4093.0303000007475,10,4.5,1,5.166666666666667,0.23484848484848486,0.15151515151515152,0.06818181818181818,0.015151515151515152,20518,17.966081297622463,7.470690670067704,114.76207070707073,4.515151515151516,1.9545454545454546,1.8484848484848484,0.42424242424242425
4093.528400000741,7.5,4.5,1,4.333333333333333,0.19402985074626866,0.11194029850746269,0.06716417910447761,0.014925373134328358,20521,17.96595215905552,7.470544955118468,116.79199004975129,4.7164179104477615,2.014925373134328,1.8208955223880596,0.43283582089552236
4094.028500000735,5,6,1,4,0.17647058823529413,0.07352941176470588,0.08823529411764706,0.014705882352941176,20524,17.965726571185574,7.470302792492325,121.21289215686278,4.970588235294118,1.8088235294117647,2.1323529411764706,0.3235294117647059
4094.528700000754,5,6,1,4,0.1875,0.078125,0.09375,0.015625,20526,17.965401836781293,7.469666960813162,116.43976562500002,4.75,1.59375,2.390625,0.40625
4095.028200000754,5,3,1,3,0.1487603305785124,0.08264462809917356,0.049586776859504134,0.01652892561983471,20527,17.965351693946136,7.469196968211972,115.28892561983473,5.140495867768595,1.603305785123967,2.347107438016529,0.4793388429752066
4095.5285000007366,7.5,4.5,1,4.333333333333333,0.21666666666666667,0.125,0.075,0.016666666666666666,20528,17.965386123088898,7.469035018946826,114.0972777777778,5.1,2.0833333333333335,1.9666666666666666,0.48333333333333334
4096.028000000738,7.5,4.5,1,4.333333333333333,0.21311475409836064,0.12295081967213115,0.07377049180327869,0.01639344262295082,20530,17.965386123088898,7.469035018946826,115.13844262295085,5.049180327868853,2.2131147540983607,0.9180327868852459,0.45901639344262296
4096.528500000735,7.5,4.5,1,4.333333333333333,0.21666666666666667,0.125,0.075,0.016666666666666666,20532,17.970683911424565,7.4725439284081325,114.7619444444445,4.716666666666667,2.8,0.9333333333333333,0.4666666666666667
4097.028100000729,7.5,4.5,1,4.333333333333333,0.21666666666666667,0.125,0.075,0.016666666666666666,20533,17.970628194451162,7.472373814072737,115.20408333333337,4.733333333333333,2.4166666666666665,0.9666666666666667,0.4166666666666667
4097.528000000733,7.5,4.5,1,4.333333333333333,0.21666666666666667,0.125,0.075,0.016666666666666666,20538,17.977446370849158,7.475541189146838,113.55055555555562,4.066666666666666,2.4166666666666665,1.2333333333333334,0.4166666666666667
4098.027900000739,10,3,1,4.666666666666667,0.22580645161290322,0.16129032258064516,0.04838709677419355,0.016129032258064516,20542,17.977446370849158,7.475541189146838,117.15924731182804,4.403225806451613,2.3225806451612905,1.1290322580645162,0.3548387096774194
4098.528400000738,7.5,3,1,3.8333333333333335,0.184,0.12,0.048,0.016,20544,17.977089965228373,7.475273030021066,119.06626666666673,4.608,2.096,1.152,0.352
4099.028400000736,5,3,1,3,0.140625,0.078125,0.046875,0.015625,20548,17.976851126346627,7.474952660790082,122.23760416666673,4.921875,2.109375,1.3125,0.375
4099.527400000734,5,3,1,3,0.15,0.08333333333333333,0.05,0.016666666666666666,20552,17.97745040459401,7.475386648394682,116.20955555555558,4.583333333333333,1.9833333333333334,1.4833333333333334,0.7166666666666667
4100.027300000738,5,6,1,4,0.20168067226890757,0.08403361344537816,0.10084033613445378,0.01680672268907563,20554,17.980435527281532,7.4778223635918835,116.28672268907565,4.487394957983193,1.915966386554622,1.596638655462185,0.6554621848739496
4100.5273000007355,5,6,1,4,0.20869565217391303,0.08695652173913043,0.10434782608695652,0.017391304347826087,20557,17.980437334898646,7.477361967191737,112.7169275362319,4.278260869565218,1.9304347826086956,1.5826086956521739,0.6956521739130435
4101.027200000739,7.5,3,1,3.8333333333333335,0.1885245901639344,0.12295081967213115,0.04918032786885246,0.01639344262295082,20564,17.980437334898646,7.477361967191737,114.95218579234972,4.442622950819672,1.7868852459016393,1.5245901639344261,0.7704918032786885
4101.527200000737,7.5,3,1,3.8333333333333335,0.19008264462809918,0.12396694214876033,0.049586776859504134,0.01652892561983471,20564,17.98017251218827,7.47709240326763,113.50537190082645,4.446280991735537,1.9834710743801653,1.421487603305785,0.628099173553719
4102.026600000713,7.5,4.5,1,4.333333333333333,0.21138211382113822,0.12195121951219512,0.07317073170731707,0.016260162601626018,20566,17.98017251218827,7.47709240326763,113.28577235772357,4.373983739837398,1.8373983739837398,1.3333333333333333,0.8130081300813008
4102.526700000735,7.5,6,1,4.833333333333333,0.23770491803278687,0.12295081967213115,0.09836065573770492,0.01639344262295082,20569,17.979959570271014,7.477046347467446,112.61800546448083,4.278688524590164,2.1475409836065573,1.3934426229508197,0.5081967213114754
4103.026700000734,7.5,6,1,4.833333333333333,0.2396694214876033,0.12396694214876033,0.09917355371900827,0.01652892561983471,20571,17.97950122249379,7.476317848410767,110.72347107438013,4.198347107438017,1.884297520661157,1.3884297520661157,0.512396694214876
4103.526400000722,7.5,6,1,4.833333333333333,0.23770491803278687,0.12295081967213115,0.09836065573770492,0.01639344262295082,20576,17.9786154297447,7.47534630553112,113.0858196721311,4.39344262295082,1.3770491803278688,1.6065573770491803,0.47540983606557374
4104.026300000726,5,3,1,3,0.14634146341463414,0.08130081300813008,0.04878048780487805,0.016260162601626018,20579,17.9796033763524,7.476081997132065,117.53669376693767,4.9105691056910565,1.1869918699186992,1.5609756097560976,0.5203252032520326
4104.526300000724,5,3,1,3,0.14754098360655737,0.08196721311475409,0.04918032786885246,0.01639344262295082,20582,17.9861192570869,7.480412186379937,118.77169398907105,4.573770491803279,1.2950819672131149,1.5245901639344261,0.3770491803278688
4105.0263000007235,5,3,1,3,0.15,0.08333333333333333,0.05,0.016666666666666666,20585,17.994499552080693,7.4851160517957585,117.42930555555554,4,1.3666666666666667,1.2666666666666666,0.6166666666666667
4105.526100000705,7.5,6,1,4.833333333333333,0.25217391304347825,0.13043478260869565,0.10434782608695652,0.017391304347826087,20589,17.992577578066395,7.483247045032734,114.44095652173915,3.791304347826087,1.6695652173913043,1.2695652173913043,0.6608695652173913
4106.0263000007235,7.5,6,1,4.833333333333333,0.24166666666666667,0.125,0.1,0.016666666666666666,20594,17.992577578066395,7.483247045032734,113.83925000000002,3.6333333333333333,1.3,1.2833333333333334,0.6333333333333333
4106.526000000712,7.5,6,1,4.833333333333333,0.24786324786324787,0.1282051282051282,0.10256410256410256,0.017094017094017096,20596,17.99738594006859,7.487484740465852,113.89262108262109,3.452991452991453,1.435897435897436,1.4700854700854702,0.5299145299145299
4107.0258000007225,7.5,3,1,3.8333333333333335,0.1885245901639344,0.12295081967213115,0.04918032786885246,0.01639344262295082,20601,17.99738594006859,7.487484740465852,114.13010928961748,3.639344262295082,1.3278688524590163,1.459016393442623,0.5409836065573771
4107.525800000722,10,3,1,4.666666666666667,0.22580645161290322,0.16129032258064516,0.04838709677419355,0.016129032258064516,20605,17.99702813990192,7.4872125384502795,113.36010752688173,3.596774193548387,1.4838709677419355,1.3870967741935485,0.3709677419354839
4108.025700000727,10,4.5,1,5.166666666666667,0.25,0.16129032258064516,0.07258064516129033,0.016129032258064516,20606,17.996655600038956,7.486915340298808,112.64879032258067,3.5483870967741935,1.4838709677419355,1.3225806451612903,0.41935483870967744
4108.525700000726,7.5,4.5,1,4.333333333333333,0.20634920634920634,0.11904761904761904,0.07142857142857142,0.015873015873015872,20609,17.99655974873462,7.48679067193934,114.57119047619051,3.6984126984126986,1.507936507936508,1.4444444444444444,0.31746031746031744
4109.025200000726,7.5,4.5,1,4.333333333333333,0.20155038759689922,0.11627906976744186,0.06976744186046512,0.015503875968992248,20613,17.996904901386344,7.487193256525426,117.26687338501296,3.8449612403100777,1.8449612403100775,1.441860465116279,0.34108527131782945
4109.525100000702,5,6,1,4,0.1889763779527559,0.07874015748031496,0.09448818897637795,0.015748031496062992,20615,17.99662241311977,7.486670245997665,115.36047244094487,3.732283464566929,1.3543307086614174,1.8267716535433072,0.15748031496062992
4110.025200000725,5,3,1,3,0.14285714285714285,0.07936507936507936,0.047619047619047616,0.015873015873015872,20620,17.997226830616984,7.486649751146685,113.64074074074077,3.857142857142857,1.4761904761904763,1.9841269841269842,0.15873015873015872
4110.524800000719,5,4.5,1,3.5,0.1640625,0.078125,0.0703125,0.015625,20622,17.997226830616984,7.486649751146685,115.19523437500003,3.890625,1.46875,1.734375,0.140625
